"logit_1_0";"X_INDEX";"Y_INDEX"
0;205500;4754500
0;333500;4470500
0;125500;4167500
0;759500;4442500
0;388500;4779500
0;784500;4569500
0;275500;4359500
0;65500;4720500
0;197500;4779500
0;307500;4796500
0;236500;4778500
0;195500;4776500
0;285500;4424500
0;434500;4079500
0;298500;4771500
0;150500;4722500
0;197500;4670500
0;196500;4686500
0;165500;4399500
0;238500;4802500
0;185500;4151500
0;261500;4450500
0;349500;4435500
0;205500;4693500
0;203500;4789500
0;262500;4432500
0;270500;4791500
0;299500;4770500
0;196500;4795500
0;196500;4810500
0;262500;4745500
0;616500;4788500
0;13500;4781500
0;201500;4754500
0;389500;4774500
0;205500;4799500
0;203500;4786500
0;226500;4783500
0;191500;4787500
0;163500;4325500
0;126500;4142500
0;215500;4653500
0;834500;4589500
0;205500;4781500
0;198500;4763500
0;202500;4654500
0;347500;4216500
0;301500;4051500
0;43500;4749500
0;54500;4712500
0;248500;4385500
0;134500;4131500
0;425500;4790500
0;211500;4381500
0;281500;4505500
0;192500;4763500
0;298500;4812500
0;791500;4702500
0;272500;4831500
0;423500;4083500
0;232500;4781500
0;212500;4216500
0;183500;4225500
